 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,BRA 55-60,conventional 14C,charcoal,,Pta-8603,1340,40,LSA,Ceramic LSA,,rock shelter,,vandoornum2008sch,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,DC/BRA,conventional 14C,charcoal,,Pta-8604,325,15,LSA,Ceramic LSA,,rock shelter,,vandoornum2008sch,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,DBG,conventional 14C,charcoal,,Pta-8609,2180,45,LSA,Final LSA,,rock shelter,,vandoornum2008sch,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,BRA 45-50,conventional 14C,charcoal,,Pta-8614,1100,60,LSA,Ceramic LSA,,rock shelter,,vandoornum2008sch,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,DAF,conventional 14C,eggshell,Struthio camelus,Pta-8639,11040,90,LSA,,,rock shelter,,vandoornum2008sch,
Balerno Shelter 3,BS3,-22.250,29.183,South Africa,Limpopo,S,Savanna Biome,G7 AG3,conventional 14C,charcoal,,Pta-7994,2250,40,LSA,,,rock shelter,,vandoornum2014bsl,
Balerno Shelter 3,BS3,-22.250,29.183,South Africa,Limpopo,S,Savanna Biome,G7 GB2,conventional 14C,charcoal,,Pta-7995,1650,50,LSA,,,rock shelter,,vandoornum2014bsl,
Balerno Shelter 3,BS3,-22.250,29.183,South Africa,Limpopo,S,Savanna Biome,G7 DR4,conventional 14C,charcoal,,Pta-7996,2270,50,LSA,,,rock shelter,,vandoornum2014bsl,
Balerno Shelter 3,BS3,-22.250,29.183,South Africa,Limpopo,S,Savanna Biome,G8 A28,conventional 14C,charcoal,,Pta-7997,1920,45,LSA,Final LSA,,rock shelter,,vandoornum2014bsl,
Ballito Bay,BAB,-29.520,31.229,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,Skeleton C,conventional 14C,bone,Homo sapiens,Pta-5794,5900,110,,,,Human burial,,ribot2010phe,
Ballito Bay,BAB,-29.520,31.229,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,Skeleton A,conventional 14C,bone,Homo sapiens,Pta-5796,1980,20,,,,Human burial,,ribot2010phe,
Ballito Bay,BAB,-29.520,31.229,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,Skeleton B,conventional 14C,bone,Homo sapiens,Pta-5803,2940,50,,,,Human burial,,ribot2010phe,
Ballito Bay,BAB,-29.520,31.229,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,"Skeleton, A 2120",conventional 14C,bone,Homo sapiens,Pta-6108,940,20,,,,Human burial,,ribot2010phe,
Bambata Cave,BMB,-21.51,28.75,Zimbabwe,Matabeleland South,S,,3b,conventional 14C,charcoal,,Pta-3072,2140,60,Iron Age,Early Iron Age,,rock shelter,,walker1983sep,
Bambata Cave,BMB,-21.51,28.75,Zimbabwe,Matabeleland South,S,,3c,conventional 14C,charcoal,,Pta-3111,3960,60,LSA,,,rock shelter,,walker1983sep,
Banda Cave,BNC,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,38 cm,conventional 14C,charcoal,,GrN-5021,1650,40,,,,rock shelter,,vogel1970grd,Considered contaminated by Iron Age charcoal
Banda Cave,BNC,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,20-30 cm,conventional 14C,charcoal,,Y-1714,5890,80,LSA,,,rock shelter,,stuiver1969nrm,
Barnes Shelter,BNS,-29.319,29.567,South Africa,Kwazulu-Natal,S,Grassland Biome,Crust above painting,AMS,other,,OZD-446,1060,65,LSA,,,rock art,,mazel2003dpu,Crust above painting
Basinghall,BSH,-23.513,27.133,Botswana,Central District,S,Savanna Biome,Letamong,conventional 14C,charcoal,,Pta-9167,870,45,Iron Age,,,settlement,,biemond2014sal,Toutswe Phase
Basinghall,BSH,-23.513,27.133,Botswana,Central District,S,Savanna Biome,Onjombo,conventional 14C,charcoal,,Pta-9169,760,50,Iron Age,,,settlement,,biemond2014sal,Toutswe Phase
Basinghall,BSH,-23.51,27.13,Botswana,Central District,S,Savanna Biome,,conventional 14C,charcoal,,Pta-9303,300,15,Iron Age,Later Iron Age,,settlement,,biemond2014sal,Letsibogo facies
Basinghall,BSH,-23.513,27.133,Botswana,Central District,S,Savanna Biome,Lekotsane,conventional 14C,charcoal,,Pta-9392,1010,40,Iron Age,,,settlement,,biemond2014sal,Toutswe Phase
Basinghall,BSH,-23.513,27.133,Botswana,Central District,S,Savanna Biome,Setlhong,conventional 14C,charcoal,,Pta-9442,670,50,Iron Age,,,settlement,,biemond2014sal,
Basinghall,BSH,-23.51,27.13,Botswana,Central District,S,Savanna Biome,,AMS,,,UGAMS-03982,315,25,Iron Age,Later Iron Age,,settlement,,biemond2014sal,Letsibogo facies
Batlharos 1,BH1,-27.300,23.333,South Africa,Northern Cape,S,Savanna Biome,Excavation 20-28 cm,conventional 14C,charcoal,,Pta-4451,210,30,LSA,Ceramic LSA,,,,beaumont1989pcn,Ceramic LSA
Beauley,BEA,-23.12,28.97,South Africa,Limpopo,S,Savanna Biome,TB1/3,conventional 14C,charcoal,,Pta-5947,850,50,Iron Age,Early Iron Age,,settlement,,vanschalkwyk1998aib,
Beauley,BEA,-23.12,28.97,South Africa,Limpopo,S,Savanna Biome,TB1/2,conventional 14C,charcoal,,Pta-5948,1120,50,Iron Age,Early Iron Age,,settlement,,vanschalkwyk1998aib,Happy Rest facies
Beauley,BEA,-23.12,28.97,South Africa,Limpopo,S,Savanna Biome,TB1/5,conventional 14C,wood,,Pta-5951,1135,50,Iron Age,Early Iron Age,,settlement,,vanschalkwyk1998aib,Happy Rest facies
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer 2,conventional 14C,charcoal,,Pta-291,1590,60,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer 3 Spit 4,conventional 14C,charcoal,,Pta-292,2330,60,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer 5 Spit 17,conventional 14C,charcoal,,Pta-293,3280,60,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer 3 Spit 7,conventional 14C,charcoal,,Pta-309,2610,50,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,"Layer 5, Spit 17",conventional 14C,charcoal,,Pta-359,7670,50,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer X,conventional 14C,charcoal,,Pta-448,820,35,LSA,,,rock shelter,,carter1974dia,
Belleview,BLV,-29.999,29.058,South Africa,Kwazulu-Natal,S,Grassland Biome,Layer 1,conventional 14C,charcoal,,Pta-449,1030,50,LSA,,,rock shelter,,carter1974dia,
Bethelsklip,BTK,-30.367,17.833,South Africa,Northern Cape,W,Succulent Karoo Biome,"K14, BLL2,Stone hearth, 59 cm",conventional 14C,charcoal,,Pta-3512,800,50,LSA,Ceramic LSA,,open site,-21.7,webley1986pen,
Bethelsklip,BTK,-30.367,17.833,South Africa,Northern Cape,W,Succulent Karoo Biome,"K14 BL, Hearth AF4, 10 cm",conventional 14C,charcoal,,Pta-4741,360,40,LSA,Ceramic LSA,,open site,-22.9,webley1992hap,
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation IISurface,conventional 14C,eggshell,Struthio camelus,Pta-4764,2050,50,LSA,Ceramic LSA,,open site,,beaumont1995bea,Doornfontein
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation IISurface,conventional 14C,eggshell,Struthio camelus,Pta-4772,1390,70,LSA,Ceramic LSA,,open site,,beaumont1995bea,Doornfontein
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation ISurface,conventional 14C,charcoal,,Pta-5578,1550,50,LSA,Ceramic LSA,,open site,,beaumont1995bea,
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation ISpit 2,conventional 14C,charcoal,,Pta-9505,310,50,LSA,Ceramic LSA,,open site,,parsons2008lsa,
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation ISpit 4,conventional 14C,charcoal,,Pta-9506,930,40,LSA,Ceramic LSA,,open site,,parsons2008lsa,
Biesje Poort 2,BJP2,-28.434,20.553,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation ISpit 10,conventional 14C,charcoal,,Pta-9569,1580,40,LSA,Ceramic LSA,,open site,,parsons2008lsa,
Biesjesfontein 1,BF1,-31.467,23.217,South Africa,Northern Cape,S,Nama-Karoo Biome,Excavation,conventional 14C,eggshell,Struthio camelus,Pta-3417,450,40,LSA,Ceramic LSA,,,,beaumont1984spc,Smithfield
Bisoli,BSL,-21.02,27.60,Botswana,North-East District,,,,conventional 14C,charcoal,,I-12708,1240,80,Iron Age,Early Iron Age,,settlement,,campbell1996ves,
Bisoli,BSL,-21.02,27.60,Botswana,North-East District,,,,conventional 14C,charcoal,,Wits-1099,1340,60,Iron Age,Early Iron Age,,settlement,,campbell1996ves,
Bitterputs 1,BP1,-29.800,18.983,South Africa,Northern Cape,Y,Azonal Vegetation,Surface collection,conventional 14C,eggshell,Struthio camelus,Pta-3359,510,40,LSA,Ceramic LSA,,,,beaumont1995bea,"Swartkop?, Nama-Karoo"
Blaauwbank Donga (RU 7/78),BBD,-24.81,27.79,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-2849,370,30,Iron Age,Later Iron Age,,settlement,,bandama2015ece,Madikwe facies
Blackburn Ridge,BCB,-29.691,31.064,South Africa,Kwazulu-Natal,S,Indian Ocean Coastal Belt,"Pit F, House 2",conventional 14C,charcoal,,Pta-162,900,40,Iron Age,Early Iron Age ,,settlement,,davies1971eb,Blackburn facies
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 4a base,conventional 14C,charcoal,,Pta-2833,260,45,LSA,Ceramic LSA,,mine,,humphreys1983ggl,specularite mine
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 5s/t,conventional 14C,charcoal,,Pta-2835,1150,40,LSA,Ceramic LSA,,mine,,humphreys1983ggl,specularite mine
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 5c,conventional 14C,charcoal,,Pta-2839,280,50,LSA,Ceramic LSA,,mine,,humphreys1983ggl,specularite mine
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 5p,conventional 14C,charcoal,,Pta-2840,1160,50,LSA,Ceramic LSA,,mine,,humphreys1983ggl,specularite mine
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 3b,conventional 14C,plant remains,,Pta-2841,80,35,LSA,Ceramic LSA,,mine,,humphreys1983ggl,Grass; specularite mine
Blinkklipkop,BKK,-28.303,23.117,South Africa,Northern Cape,S,Savanna Biome,Layer 5j,conventional 14C,charcoal,,Pta-3419,830,45,LSA,Ceramic LSA,,mine,,humphreys1983ggl,specularite mine
Bloeddrift 23,BLD23,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Hearth 3B,conventional 14C,charcoal,,Pta-7492,355,15,LSA,Ceramic LSA,,,,smith2001spc,
Bloeddrift 32,BLD32,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Lens in Column 1 (102 cm),conventional 14C,charcoal,,Pta-8497,350,30,LSA,Ceramic LSA,,,-24.4,gray2009cnm,
Bloeddrift 32,BLD32,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Lens 1 (72 cm),conventional 14C,charcoal,,Pta-8498,370,35,LSA,Ceramic LSA,,,-24.8,gray2009cnm,
Blombos Cave,BBC,-34.40,21.22,South Africa,Western Cape,Y,Fynbos Biome,,AMS,bone,Ovis aries,OxA-4543,1960,50,LSA,Ceramic LSA,,rock shelter,-12.6,henshilwood1996rcp,
Blombos Cave,BBC,-34.40,21.22,South Africa,Western Cape,Y,Fynbos Biome,,AMS,bone,Ovis aries,OxA-4544,1880,55,LSA,Ceramic LSA,,rock shelter,-12.9,henshilwood1996rcp,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,marine shell,,Pta-6175,2400,40,LSA,Final LSA,,rock shelter,,henshilwood2008hps,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,charcoal,,Pta-6184,290,20,LSA,Ceramic LSA,,rock shelter,,henshilwood2008hps,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,charcoal,,Pta-6185,1840,50,LSA,Ceramic LSA,,rock shelter,,henshilwood2008hps,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,marine shell,,Pta-6246,2280,50,LSA,Final LSA,,rock shelter,,henshilwood2008hps,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,marine shell,,Pta-6247,2340,50,LSA,Final LSA,,rock shelter,,henshilwood2008hps,
Blombos Cave,BBC,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,charcoal,,Wk-25554,1995,43,LSA,Ceramic LSA,,rock shelter,,henshilwood2008hps,
Blombosfontein 1,BBF1,-34.400,21.217,South Africa,Western Cape,Y,Fynbos Biome,,conventional 14C,marine shell,,Pta-6177,6960,70,LSA,Wilton,,rock shelter,,henshilwood2008hps,
